Project Name,Category Name
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",Infrastructure and Dependencies
MYRAD,Products and End User UX
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",Products and End User UX
Filecoin Spark,Protocol Research & Development
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",Tooling and Utilities
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,Infrastructure and Dependencies
FIP Editors - Filecoin Improvement Proposal Governance,Collective Governance
MechaFIL-JAX,Protocol Research & Development
万佳社区,Education and Outreach
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,Infrastructure and Dependencies
IPFS Desktop and Companion,Tooling and Utilities
Old Faithful,Tooling and Utilities
UCAN,Tooling and Utilities
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Tooling and Utilities
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,Tooling and Utilities
Filecoin Kenya Community,Education and Outreach
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Infrastructure and Dependencies
OrbitChina,Education and Outreach
Crossfi,Education and Outreach
Silvi: IPFS-Powered Biodiversity Infrastructure,Products and End User UX
Curio Dashboard,Tooling and Utilities
Cuview,Tooling and Utilities
FIL-B (FIL Builders) DX and Community,Education and Outreach
Filecoin Beam,Protocol Research & Development
chainfee,Tooling and Utilities
Secured Finance ,Infrastructure and Dependencies
ND Labs,Collective Governance
Filecoin Nigeria,Education and Outreach
Cyberport Data Integration,Collective Governance
Lynx – Storage Provider Retrieval Analytics Platform,Tooling and Utilities
OneForm – SocialCap,Collective Governance
OpenEdStore Decentralized Educational Storage Platform,Tooling and Utilities
MUSE,Collective Governance
Keypo,Infrastructure and Dependencies
ETH-FIL swap,Tooling and Utilities
FileScope AI: Blockchain-Powered Dataset Analysis Platform,Tooling and Utilities
OP Medicine – Filecoin-Powered Healthcare Infrastructure,Infrastructure and Dependencies
CIDgravity Filecoin Gateway,Products and End User UX
CIDgravity Nextcloud App,Tooling and Utilities
Helia,Tooling and Utilities
Filecoin Orbit Bootcamp Africa,Education and Outreach
ETHAccra,Education and Outreach
Drips,Products and End User UX
ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),Education and Outreach
FIL LAGOS,Education and Outreach
Eth Transport – Decentralized Civic Infrastructure on Filecoin,Infrastructure and Dependencies
